autores,ocorrencias,origem,nome_normalizado,possivel_duplicata
"Duarte, Mariana Machado Garcez",1,geoinfo,duarte mariana machado garcez,False
"Silva, Evandro Jose da",1,geoinfo,silva evandro jose da,False
"Rocha, Ezequiel Silva",1,geoinfo,rocha ezequiel silva,False
"Margotte, Henrique",1,geoinfo,margotte henrique,False
"Pozo, Aurora",1,geoinfo,pozo aurora,False
"Hara, Carmem",1,geoinfo,hara carmem,False
"Melo, Daniel Wander Ferreira",1,geoinfo,melo daniel wander ferreira,False
"Candeias, Ana Lucia Bezerra",1,geoinfo,candeias ana lucia bezerra,False
"Mendonça, Tiffany Laura Januci Teles de",1,geoinfo,mendonca tiffany laura januci teles de,False
"Gama, Fabio Furlan",1,geoinfo,gama fabio furlan,False
"Castro, Gustavo Jose da Silva",1,geoinfo,castro gustavo jose da silva,False
"Oliveira, Edgar",1,geoinfo,oliveira edgar,False
"Celes, Clayson",1,geoinfo,celes clayson,False
"Oliveira, Carina T.",1,geoinfo,oliveira carina t,False
"Braga, Reinaldo",1,geoinfo,braga reinaldo,False
"Oliveira, André Estevam Costa",1,geoinfo,oliveira andre estevam costa,False
"Perciani, Bruno Zomignani",1,geoinfo,perciani bruno zomignani,False
"Nascimento, Victor Fernandez",1,geoinfo,nascimento victor fernandez,False
"Werneck, Márcio de Souza",1,geoinfo,werneck marcio de souza,False
"Pujatt, Mario A. S.",1,geoinfo,pujatt mario a s,False
"Doblas, Juan",1,geoinfo,doblas juan,False
"Gusmão, Luiz Henrique",1,geoinfo,gusmao luiz henrique,False
"Moraes, Dayane Rafaela V. de",1,geoinfo,moraes dayane rafaela v de,False
"Sant’anna, Sidnei Joao S.",1,geoinfo,santanna sidnei joao s,False
"Mermoz, Stephane",1,geoinfo,mermoz stephane,False
"Gomes, Emeli",1,geoinfo,gomes emeli,False
