instituicoes,ocorrencias,origem,nome_normalizado,possivel_duplicata
Northeastern University,1,geoinfo,northeastern university,False
"Department of Computer Science, UTEP",1,geoinfo,department of computer science utep,False
University of Versailles,1,geoinfo,university of versailles,False
Federal University of Pernambuco (UFPE),1,geoinfo,federal university of pernambuco ufpe,False
Laboratório de Gestão de Riscos (LABGRIs),1,geoinfo,laboratorio de gestao de riscos labgris,False
Global Earth Observation (GlobEO),1,geoinfo,global earth observation globeo,False
Federal University of Santa Catarina (UFSC),1,geoinfo,federal university of santa catarina ufsc,False
Center for Monitoring and Early Warning of Natural Disasters (CEMADEN),1,geoinfo,center for monitoring and early warning of natural disasters cemaden,False
State University of Bahia (UNEB),1,geoinfo,state university of bahia uneb,False
Faculdades Senai Cimatec (SENAI),1,geoinfo,faculdades senai cimatec senai,False
Instituto Tecnologico da Aeronáutica (ITA),1,geoinfo,instituto tecnologico da aeronautica ita,False
Université Paul Cézanne Aix-Marseille III,1,geoinfo,universite paul cezanne aixmarseille iii,False
Martin-Luther Universität Halle-Wittenberg. Institut für Geographie.,1,geoinfo,martinluther universitat hallewittenberg institut fur geographie,False
University of Jena,1,geoinfo,university of jena,False
Institut für Informationssysteme - TU Braunschweig,1,geoinfo,institut fur informationssysteme tu braunschweig,False
"Universität Stuttgart, Institute of Parallel and Distributed System",1,geoinfo,universitat stuttgart institute of parallel and distributed system,False
Universidade Metodista de Piracicaba (UNIMEP),1,geoinfo,universidade metodista de piracicaba unimep,False
Centro Federal de Educação Tecnológica do Amazonas (CEFET/AM),1,geoinfo,centro federal de educacao tecnologica do amazonas cefetam,False
INPA - Instituto Nacional de Pesquisas da Amazônia,1,geoinfo,inpa instituto nacional de pesquisas da amazonia,False
Instituto Nacional de Matemática Pura e Aplicada (IMPA),1,geoinfo,instituto nacional de matematica pura e aplicada impa,False
Centro Federal de Educação Tecnológica do Paraná (CEFET/PR),1,geoinfo,centro federal de educacao tecnologica do parana cefetpr,False
Institute for Geoinformation and Cartography,1,geoinfo,institute for geoinformation and cartography,False
Computer Graphics Group (TECGRAF),1,geoinfo,computer graphics group tecgraf,False
European Centre for Medium-Range Weather Forecasts,1,geoinfo,european centre for mediumrange weather forecasts,False
Open Geo Hub (OGH),1,geoinfo,open geo hub ogh,False
University of British Columbia,1,geoinfo,university of british columbia,False
Instituto Geológico (IG),1,geoinfo,instituto geologico ig,False
Laboratoire Souterrain du Centre National de Recherche Scientifique,1,geoinfo,laboratoire souterrain du centre national de recherche scientifique,False
Universidade Tiradentes (UNIT),1,geoinfo,universidade tiradentes unit,False
Universidade Estácio de Sá,1,geoinfo,universidade estacio de sa,False
Tecgraf – Computer Graphics Technology Group,1,geoinfo,tecgraf computer graphics technology group,False
Instituto Nacional de Pesquisas Espaciais,165,citantes,instituto nacional de pesquisas espaciais,False
Universidade Federal de Minas Gerais,82,citantes,universidade federal de minas gerais,False
Pontifícia Universidade Católica do Rio de Janeiro,58,citantes,pontificia universidade catolica do rio de janeiro,False
Universidade Federal de Viçosa,47,citantes,universidade federal de vicosa,False
Universidade de São Paulo,41,citantes,universidade de sao paulo,False
Universidade Estadual de Campinas (UNICAMP),37,citantes,universidade estadual de campinas unicamp,False
Universidade Federal de Santa Catarina,37,citantes,universidade federal de santa catarina,False
Universidade Federal de São Carlos,30,citantes,universidade federal de sao carlos,False
Universidade Tecnológica Federal do Paraná,29,citantes,universidade tecnologica federal do parana,False
Universidade Federal de Goiás,27,citantes,universidade federal de goias,False
Universidade Federal de Ouro Preto,26,citantes,universidade federal de ouro preto,False
Universidade Federal do Paraná,24,citantes,universidade federal do parana,False
Universidade Federal de Pernambuco,22,citantes,universidade federal de pernambuco,False
Universidade Federal do Rio de Janeiro,20,citantes,universidade federal do rio de janeiro,False
